Number of customers: 90
Number of days: 3
Depot: 0
Fees: 5 6 7 8
Time windows: id,start[min],end[min]
1,480,600
2,600,720
3,720,840
4,840,960
5,960,1080
6,1080,1200

Distance matrix: zone_1,zone_2,distance[km]
4435,4435,0.0
4435,4475,18.24855022793155
4435,4470,15.377913241073507
4435,4425,7.304083685984521
4435,4460,16.508532280601734
4435,4465,13.661543726856115
4435,4250,15.472490696552473
4435,4445,5.279957384900637
4435,4485,24.821574936463612
4435,4745,17.322917555554792
4435,0,11.63657692912046
4475,4435,18.24855022793155
4475,4475,0.0
4475,4470,5.049330467234443
4475,4425,11.66495537389894
4475,4460,12.241413849400423
4475,4465,11.551681962376602
4475,4250,15.24776333362931
4475,4445,13.660831967095378
4475,4485,6.5959073416920715
4475,4745,10.78880500216957
4475,0,6.61282258317957
4470,4435,15.377913241073507
4470,4475,5.049330467234443
4470,4470,0.0
4470,4425,10.218834427493599
4470,4460,7.421683851908251
4470,4465,6.502370417677097
4470,4250,10.234281472265904
4470,4445,11.792873274487516
4470,4485,10.850982207586185
4470,4745,13.787046309709604
4470,0,4.936544377514943
4425,4435,7.304083685984521
4425,4475,11.66495537389894
4425,4470,10.218834427493599
4425,4425,0.0
4425,4460,14.454767108214444
4425,4465,11.760121909858393
4425,4250,15.071031916845596
4425,4445,2.0991108473834665
4425,4485,18.05309256568281
4425,4745,10.443366106877335
4425,0,5.439468377953631
4460,4435,16.508532280601734
4460,4475,12.241413849400423
4460,4470,7.421683851908251
4460,4425,14.454767108214444
4460,4460,0.0
4460,4465,2.8787035472943607
4460,4250,3.5330138811468963
4460,4445,15.16086552603122
4460,4485,16.818155889721996
4460,4745,20.850073454410506
4460,0,10.749022208378587
4465,4435,13.661543726856115
4465,4475,11.551681962376602
4465,4470,6.502370417677097
4465,4425,11.760121909858393
4465,4460,2.8787035472943607
4465,4465,0.0
4465,4250,3.9253027065586705
4465,4445,12.345308894994039
4465,4485,16.99031724399959
4465,4745,18.963766123755125
4465,0,8.620860099095434
4250,4435,15.472490696552473
4250,4475,15.24776333362931
4250,4470,10.234281472265904
4250,4425,15.071031916845596
4250,4460,3.5330138811468963
4250,4465,3.9253027065586705
4250,4250,0.0
4250,4445,15.29778928475303
4250,4485,20.227043688063166
4250,4745,22.857513939867943
4250,0,12.488773523315881
4445,4435,5.279957384900637
4445,4475,13.660831967095378
4445,4470,11.792873274487516
